ID,Date,Element,Data_Value
MJM00013363,2011-11-28,TMIN,-38
MJM00013463,2013-08-18,TMIN,233
BKM00014654,2013-04-18,TMIN,43
MJM00013363,2013-06-03,TMAX,187
MJM00013461,2011-09-16,TMAX,305
ALM00013615,2014-01-04,TMIN,25
MJM00013461,2010-06-18,TMAX,309
BKM00014657,2008-08-15,TMIN,238
BKM00014648,2012-03-25,TMAX,230
MJM00013363,2012-10-09,TMIN,-20
MJM00013459,2006-07-03,TMAX,238
BKM00014652,2011-05-13,TMAX,72
MJM00013461,2005-04-22,TMIN,83
MJM00013461,2005-04-22,TMAX,184
ALM00013615,2008-07-30,TMAX,332
BKM00014654,2010-01-19,TMAX,7
RIE00100814,2008-05-22,TMIN,133
MJM00013463,2012-12-26,TMIN,20
BKM00014652,2011-10-07,TMAX,69
MJM00013363,2008-10-18,TMAX,114
MJM00013463,2006-05-19,TMAX,294
MJM00013463,2006-05-19,TMIN,172
MJM00013459,2012-07-28,TMIN,184
MJM00013463,2012-12-26,TMAX,91
BKM00014657,2012-11-23,TMAX,152
ALM00013615,2015-01-19,TMAX,133
MJM00013461,2008-08-10,TMIN,200
BKM00014648,2005-12-12,TMAX,89
RIE00100814,2005-07-26,TMAX,350
RIE00100814,2005-07-26,TMIN,140
MJM00013459,2012-07-28,TMAX,339
BKM00014648,2012-10-22,TMIN,112
BKM00014652,2009-08-02,TMAX,189
MJM00013363,2013-05-11,TMAX,256
MJM00013459,2008-06-16,TMIN,88
MJM00013459,2007-03-09,TMAX,163
MJM00013363,2008-06-27,TMAX,322
RIE00100814,2013-03-01,TMAX,123
MJM00013461,2006-03-19,TMIN,38
MJM00013461,2008-08-10,TMAX,325
BKM00014648,2006-09-13,TMAX,293
BKM00014654,2010-01-19,TMIN,-15
ALM00013615,2006-10-25,TMAX,250
BKM00014654,2012-12-21,TMAX,13
BKM00014654,2015-11-15,TMIN,37
MJM00013463,2010-07-05,TMIN,208
MJM00013463,2012-01-30,TMIN,-9
MJM00013463,2013-05-02,TMIN,180
MJM00013461,2006-06-19,TMAX,294
MJM00013461,2009-03-31,TMAX,222
BKM00014648,2009-08-29,TMIN,210
BKM00014654,2015-11-15,TMAX,135
MJM00013459,2009-05-01,TMIN,34
BKM00014654,2011-08-27,TMIN,184
MJM00013463,2014-03-06,TMIN,47
MJM00013463,2012-03-22,TMIN,82
BKM00014654,2015-02-05,TMIN,9
BKM00014657,2015-12-15,TMIN,50
MJM00013363,2008-03-03,TMAX,203
MJM00013463,2008-10-12,TMIN,117
BKM00014652,2011-07-14,TMAX,223
ALM00013615,2014-06-18,TMAX,276
MJM00013461,2005-08-11,TMAX,280
MJM00013363,2007-09-29,TMAX,234
MJM00013463,2012-04-11,TMAX,154
MJM00013463,2008-03-30,TMAX,227
ALM00013615,2014-06-18,TMIN,176
MJM00013363,2008-06-28,TMAX,264
MJM00013363,2008-05-20,TMAX,206
MJM00013463,2012-04-11,TMIN,51
BKM00014652,2013-08-21,TMAX,100
MJM00013461,2006-03-19,TMAX,134
RIE00100814,2007-04-27,TMAX,245
BKM00014657,2011-09-10,TMIN,220
BKM00014654,2013-01-31,TMAX,106
BKM00014654,2011-09-07,TMIN,109
MJM00013459,2007-01-02,TMIN,10
MK000013577,2009-05-06,TMIN,17
BKM00014654,2008-12-25,TMAX,10
BKM00014652,2014-12-14,TMAX,-5
BKM00014652,2015-05-08,TMIN,30
MJM00013459,2007-01-02,TMAX,64
MJM00013363,2013-06-03,TMIN,99
MJM00013459,2008-06-16,TMAX,207
BKM00014654,2008-09-20,TMAX,93
MJM00013461,2006-10-11,TMAX,260
RIE00100814,2010-10-29,TMIN,-22
RIE00100814,2007-04-27,TMIN,98
BKM00014652,2011-05-13,TMIN,40
MK000013577,2012-07-18,TMAX,245
MJM00013463,2012-07-16,TMAX,362
BKM00014648,2012-03-25,TMIN,138
MJM00013363,2013-09-15,TMAX,255
MJM00013459,2009-01-02,TMAX,76
MJM00013363,2005-01-10,TMIN,-61
ALM00013615,2006-09-08,TMAX,320
MJM00013459,2009-01-02,TMIN,-10
BKM00014652,2008-10-02,TMAX,63
RIE00100814,2014-01-26,TMAX,-37
BKM00014648,2006-01-16,TMIN,-19
BKM00014652,2008-10-02,TMIN,40
MJM00013461,2006-04-18,TMIN,133
MJM00013461,2006-04-18,TMAX,232
MJM00013459,2008-01-06,TMIN,42
RIE00100814,2006-09-22,TMAX,220
MJM00013461,2014-07-24,TMIN,190
BKM00014652,2013-06-02,TMIN,-5
MK000013577,2015-04-10,TMAX,103
MJM00013363,2012-10-09,TMAX,211
MJM00013463,2014-08-02,TMAX,321
BKM00014652,2013-08-21,TMIN,80
RIE00100814,2014-01-26,TMIN,-69
BKM00014654,2014-02-14,TMAX,79
RIE00100814,2005-09-12,TMIN,145
BKM00014648,2012-10-22,TMAX,257
MJM00013363,2008-03-03,TMIN,-20
MJM00013363,2008-06-27,TMIN,148
RIE00100814,2005-09-12,TMAX,317
MJM00013459,2012-05-16,TMIN,89
MJM00013459,2012-05-16,TMAX,143
MJM00013461,2013-04-23,TMAX,218
MJM00013459,2015-06-23,TMIN,102
BKM00014654,2014-02-14,TMIN,30
MK000013577,2015-04-10,TMIN,-16
BKM00014648,2014-03-11,TMAX,162
BKM00014654,2008-09-20,TMIN,63
BKM00014648,2007-04-20,TMAX,262
BKM00014657,2013-06-07,TMAX,241
BKM00014654,2011-09-07,TMAX,305
MJM00013461,2009-03-31,TMIN,141
BKM00014654,2015-07-29,TMIN,169
MJM00013461,2014-07-24,TMAX,289
MJM00013459,2008-01-06,TMAX,69
BKM00014648,2015-04-23,TMAX,253
BKM00014654,2015-07-29,TMAX,349
MJM00013363,2005-01-10,TMAX,87
MJM00013461,2005-04-08,TMAX,190
BKM00014652,2013-06-02,TMAX,35
MJM00013363,2009-05-09,TMIN,57
MJM00013459,2007-01-20,TMAX,177
MJM00013461,2010-08-08,TMIN,177
MJM00013363,2014-06-01,TMAX,151
MJM00013463,2014-10-17,TMAX,244
BKM00014654,2006-06-13,TMAX,202
MJM00013463,2014-10-17,TMIN,178
BKM00014654,2010-12-25,TMIN,7
MKM00013588,2015-12-09,TMIN,14
MJM00013363,2014-04-11,TMIN,13
BKM00014652,2009-12-19,TMIN,-150
MJM00013461,2013-02-19,TMIN,50
MJM00013461,2013-02-19,TMAX,93
BKM00014648,2008-03-11,TMAX,125
MK000013577,2007-10-30,TMIN,4
BKM00014654,2008-02-22,TMIN,24
MJM00013463,2011-03-27,TMAX,182
BKM00014652,2009-12-19,TMAX,-60
BKM00014652,2011-09-10,TMAX,175
MJM00013363,2011-07-03,TMAX,223
RIE00100814,2007-08-06,TMAX,188
BKM00014648,2012-09-22,TMAX,261
RIE00100814,2013-04-29,TMIN,113
MJM00013463,2012-03-14,TMAX,178
MJM00013459,2009-12-29,TMIN,26
MJM00013461,2008-12-14,TMIN,81
MJM00013363,2007-01-02,TMAX,80
RIE00100814,2005-06-12,TMIN,70
BKM00014648,2011-01-17,TMAX,167
BKM00014648,2011-01-17,TMIN,68
BKM00014648,2015-09-29,TMIN,144
MJM00013363,2010-02-12,TMAX,79
MJM00013463,2008-12-14,TMIN,48
MJM00013363,2010-02-12,TMIN,-8
MJM00013363,2014-04-11,TMAX,91
MJM00013463,2010-11-23,TMAX,108
MKM00013588,2015-12-09,TMAX,33
RIE00100814,2015-03-11,TMIN,18
MJM00013459,2013-01-31,TMAX,111
BKM00014654,2006-07-03,TMAX,196
MK000013577,2008-07-29,TMIN,98
BKM00014654,2013-03-21,TMIN,19
MK000013577,2008-07-29,TMAX,247
BKM00014654,2010-08-14,TMIN,155
BKM00014657,2009-05-24,TMIN,196
MJM00013461,2009-01-26,TMIN,78
MJM00013463,2014-06-02,TMIN,124
BKM00014654,2005-12-12,TMIN,-20
MJM00013459,2008-10-23,TMAX,229
BKM00014652,2011-03-05,TMIN,-43
MJM00013363,2014-10-21,TMAX,207
RIE00100814,2015-11-21,TMAX,195
MJM00013463,2010-11-29,TMIN,109
MJM00013461,2008-12-14,TMAX,155
BKM00014652,2008-12-03,TMIN,-36
MK000013577,2012-07-18,TMIN,95
MJM00013459,2013-01-31,TMIN,-16
MJM00013463,2010-08-20,TMAX,359
BKM00014648,2007-01-20,TMIN,56
MJM00013463,2014-09-15,TMAX,261
BKM00014648,2007-01-20,TMAX,167
MJM00013463,2011-03-27,TMIN,88
BKM00014652,2013-08-12,TMAX,150
BKM00014657,2009-09-11,TMIN,197
MJM00013363,2014-06-01,TMIN,80
MJM00013463,2008-12-14,TMAX,104
MJM00013463,2012-03-14,TMIN,73
BKM00014654,2010-08-14,TMAX,345
RIE00100814,2015-03-11,TMAX,62
MK000013577,2013-10-15,TMAX,159
BKM00014654,2006-07-03,TMIN,146
MK000013577,2015-04-16,TMIN,19
MK000013577,2013-10-06,TMIN,34
MJM00013463,2011-11-09,TMAX,161
MJM00013463,2007-01-31,TMAX,174
ALM00013615,2012-07-13,TMAX,336
MJM00013461,2013-02-17,TMIN,64
MK000013577,2007-10-30,TMAX,133
MJM00013459,2011-05-11,TMAX,180
BKM00014648,2015-07-21,TMIN,285
RIE00100814,2009-09-22,TMIN,79
BKM00014657,2015-10-24,TMAX,213
BKM00014652,2008-07-16,TMAX,66
MJM00013459,2008-12-13,TMAX,39
BKM00014657,2013-03-05,TMAX,169
MJM00013463,2009-10-22,TMIN,121
BKM00014648,2012-11-18,TMIN,78
MJM00013463,2007-01-31,TMIN,0
MJM00013459,2009-07-06,TMAX,253
MJM00013463,2006-08-02,TMAX,355
RIE00100814,2009-09-22,TMAX,265
MJM00013459,2009-12-03,TMAX,131
MJM00013463,2009-09-30,TMAX,282
BKM00014654,2005-05-06,TMAX,116
MJM00013459,2008-07-04,TMAX,300
MJM00013459,2005-11-24,TMAX,42
MJM00013461,2005-07-21,TMIN,251
BKM00014652,2011-02-28,TMIN,-54
MJM00013463,2007-01-09,TMIN,47
RIE00100814,2006-09-11,TMIN,88
MJM00013463,2009-09-30,TMIN,171
BKM00014652,2011-05-06,TMIN,-62
MJM00013363,2006-09-26,TMIN,75
MJM00013461,2013-02-17,TMAX,159
BKM00014652,2011-05-06,TMAX,18
MK000013577,2007-08-23,TMIN,166
BKM00014648,2009-02-09,TMAX,108
MJM00013363,2006-01-25,TMIN,-235
MJM00013463,2014-09-15,TMIN,144
BKM00014648,2010-08-27,TMAX,391
BKM00014652,2012-01-29,TMAX,-75
MKM00013588,2015-08-15,TMIN,194
BKM00014648,2009-04-08,TMAX,248
RIE00100814,2007-08-06,TMIN,143
MKM00013588,2015-08-15,TMAX,364
BKM00014648,2009-04-08,TMIN,90
BKM00014654,2006-06-13,TMIN,102
BKM00014654,2008-02-22,TMAX,136
RIE00100814,2007-03-12,TMIN,2
BKM00014652,2011-01-05,TMIN,-106
MJM00013463,2009-02-19,TMIN,-17
MK000013577,2011-08-02,TMIN,89
BKM00014652,2013-12-28,TMAX,0
BKM00014648,2012-09-22,TMIN,98
RIE00100814,2007-03-12,TMAX,145
BKM00014657,2012-02-22,TMIN,49
BKM00014654,2012-11-03,TMIN,49
MJM00013463,2012-01-02,TMAX,115
BKM00014652,2008-12-03,TMAX,109
MJM00013461,2008-02-25,TMIN,60
MJM00013461,2005-05-04,TMAX,233
BKM00014654,2014-12-21,TMIN,4
MJM00013461,2005-05-04,TMIN,125
BKM00014654,2005-09-13,TMIN,125
RIE00100814,2013-04-29,TMAX,313
MK000013577,2010-07-30,TMIN,107
MJM00013461,2008-02-25,TMAX,172
MJM00013463,2006-08-02,TMIN,231
MK000013577,2010-07-30,TMAX,249
MJM00013363,2015-06-11,TMIN,102
BKM00014648,2012-11-18,TMAX,177
BKM00014654,2005-09-13,TMAX,240
RIE00100814,2011-09-05,TMAX,362
MJM00013461,2010-08-08,TMAX,286
MJM00013363,2006-12-28,TMAX,-23
BKM00014652,2011-09-10,TMIN,100
BKM00014657,2013-03-11,TMAX,144
BKM00014652,2005-07-30,TMIN,161
BKM00014654,2010-06-01,TMIN,57
MJM00013463,2009-03-31,TMIN,129
BKM00014648,2007-09-23,TMIN,144
BKM00014654,2008-05-16,TMIN,82
BKM00014652,2009-05-16,TMAX,116
BKM00014648,2007-09-23,TMAX,293
BKM00014654,2014-02-07,TMIN,4
MJM00013463,2009-03-07,TMAX,148
ALM00013615,2014-11-16,TMIN,103
RIE00100814,2012-05-24,TMIN,130
MK000013577,2006-05-22,TMIN,77
BKM00014648,2009-11-03,TMAX,123
BKM00014654,2008-05-16,TMAX,240
BKM00014648,2007-06-20,TMAX,363
MK000013577,2011-07-14,TMIN,142
MJM00013461,2013-09-05,TMAX,295
BKM00014648,2010-07-06,TMAX,336
MJM00013463,2009-05-01,TMAX,177
BKM00014652,2005-07-19,TMIN,124
BKM00014654,2014-02-07,TMAX,143
BKM00014648,2012-03-15,TMAX,176
MJM00013363,2008-05-24,TMAX,223
BKM00014654,2009-03-23,TMAX,116
BKM00014654,2010-06-01,TMAX,131
BKM00014648,2014-11-04,TMAX,181
BKM00014648,2015-04-23,TMIN,95
BKM00014654,2009-03-23,TMIN,3
MK000013577,2011-07-14,TMAX,280
BKM00014657,2010-12-04,TMIN,96
MK000013577,2010-08-08,TMIN,103
MJM00013363,2005-05-28,TMIN,98
MJM00013363,2005-05-28,TMAX,248
BKM00014652,2014-12-14,TMIN,-40
BKM00014652,2009-05-16,TMIN,57
MJM00013463,2013-12-12,TMAX,134
MJM00013463,2013-08-18,TMAX,356
RIE00100814,2006-12-16,TMAX,132
MJM00013363,2015-04-04,TMIN,-64
BKM00014654,2009-07-14,TMAX,324
MJM00013459,2013-02-09,TMIN,-25
MJM00013459,2013-02-09,TMAX,26
MJM00013463,2009-05-01,TMIN,91
MJM00013363,2006-06-11,TMIN,66
BKM00014657,2014-10-23,TMAX,168
RIE00100814,2009-09-11,TMAX,258
MJM00013363,2006-06-11,TMAX,124
MJM00013463,2005-06-23,TMIN,202
MJM00013461,2006-06-19,TMIN,195
MJM00013459,2008-07-04,TMIN,144
BKM00014648,2011-03-08,TMAX,86
BKM00014648,2011-03-08,TMIN,1
MJM00013463,2006-02-14,TMIN,-12
RIE00100814,2012-05-24,TMAX,198
MJM00013463,2006-02-14,TMAX,94
MK000013577,2014-04-21,TMIN,18
RIE00100814,2009-09-11,TMIN,124
MK000013577,2014-04-21,TMAX,115
MJM00013459,2007-04-29,TMIN,58
MJM00013459,2007-01-20,TMIN,26
MJM00013363,2015-10-07,TMIN,117
MJM00013463,2013-12-12,TMIN,-12
MJM00013463,2008-02-09,TMAX,114
MJM00013363,2011-10-14,TMAX,96
RIE00100814,2014-12-11,TMAX,45
BKM00014648,2008-06-08,TMAX,253
BKM00014654,2007-07-30,TMAX,328
BKM00014648,2012-03-15,TMIN,82
MJM00013363,2005-07-29,TMAX,317
BKM00014648,2010-07-06,TMIN,208
BKM00014648,2005-12-16,TMAX,84
MJM00013363,2006-11-22,TMAX,148
MJM00013463,2008-11-20,TMIN,60
RIE00100814,2005-03-13,TMAX,102
RIE00100814,2009-12-30,TMAX,127
BKM00014654,2005-12-12,TMAX,6
BKM00014654,2010-12-25,TMAX,114
MJM00013463,2014-06-02,TMAX,253
MJM00013463,2011-06-17,TMAX,315
BKM00014654,2010-03-27,TMAX,151
MJM00013463,2011-08-22,TMIN,243
MJM00013463,2011-06-17,TMIN,194
MJM00013461,2010-05-06,TMAX,224
BKM00014648,2015-08-05,TMIN,243
MJM00013459,2015-12-09,TMIN,-31
MJM00013363,2009-08-04,TMAX,300
BKM00014657,2011-07-14,TMIN,268
MJM00013463,2008-11-20,TMAX,154
MJM00013461,2008-02-09,TMAX,135
BKM00014652,2008-07-16,TMIN,31
BKM00014652,2009-11-25,TMAX,62
MJM00013463,2009-02-19,TMAX,48
BKM00014648,2015-08-05,TMAX,378
MJM00013463,2005-06-05,TMAX,306
BKM00014648,2005-12-16,TMIN,15
MK000013577,2012-01-01,TMIN,-115
MJM00013463,2011-08-22,TMAX,386
RIE00100814,2009-12-30,TMIN,16
MJM00013463,2005-06-05,TMIN,167
BKM00014654,2015-10-08,TMAX,153
BKM00014652,2005-07-04,TMAX,78
BKM00014654,2010-03-27,TMIN,69
MJM00013363,2006-02-13,TMAX,2
MJM00013461,2008-02-09,TMIN,53
MJM00013463,2009-03-31,TMAX,200
MJM00013363,2007-08-15,TMAX,313
MJM00013459,2010-04-30,TMAX,222
BKM00014657,2014-03-12,TMIN,77
MJM00013363,2005-07-29,TMIN,125
MJM00013461,2013-09-05,TMIN,177
MJM00013459,2010-04-30,TMIN,74
MJM00013459,2014-08-16,TMAX,282
BKM00014654,2013-03-21,TMAX,97
MJM00013461,2014-07-22,TMIN,215
MJM00013459,2015-08-04,TMIN,164
BKM00014648,2010-08-13,TMAX,372
ALM00013615,2012-06-22,TMIN,210
MJM00013463,2014-01-27,TMAX,60
MJM00013363,2011-10-14,TMIN,43
MJM00013463,2006-08-23,TMAX,334
BKM00014648,2010-08-13,TMIN,195
MJM00013463,2010-08-20,TMIN,209
MJM00013463,2006-12-17,TMIN,25
MJM00013461,2007-11-26,TMAX,176
RIE00100814,2011-10-12,TMAX,205
MJM00013463,2013-06-18,TMAX,363
MJM00013459,2014-08-16,TMIN,166
MJM00013363,2009-02-09,TMAX,20
BKM00014652,2011-12-09,TMIN,-92
BKM00014648,2009-03-31,TMAX,186
BKM00014654,2015-10-14,TMIN,113
MJM00013463,2011-05-04,TMAX,218
BKM00014648,2009-03-31,TMIN,128
MK000013577,2009-05-06,TMAX,134
BKM00014652,2011-12-09,TMAX,-5
MJM00013463,2011-05-04,TMIN,122
MJM00013363,2006-11-22,TMIN,60
BKM00014654,2015-10-14,TMAX,187
MJM00013463,2013-06-18,TMIN,236
BKM00014654,2011-08-27,TMAX,365
RIE00100814,2006-04-13,TMIN,50
MK000013577,2008-01-21,TMAX,113
MJM00013463,2005-12-12,TMAX,99
BKM00014648,2011-12-24,TMAX,81
MJM00013463,2005-12-12,TMIN,57
BKM00014648,2012-10-28,TMAX,191
MJM00013363,2009-01-19,TMIN,18
MJM00013461,2006-12-01,TMIN,65
MJM00013459,2011-11-18,TMAX,128
BKM00014654,2014-04-03,TMIN,46
BKM00014648,2013-11-04,TMAX,213
MJM00013461,2008-12-21,TMIN,78
MJM00013461,2011-02-17,TMIN,96
BKM00014648,2013-11-04,TMIN,171
MJM00013459,2014-03-28,TMAX,126
BKM00014654,2009-03-11,TMIN,5
MK000013577,2011-12-25,TMAX,-16
MJM00013363,2009-03-06,TMAX,76
MJM00013459,2013-05-05,TMIN,121
MJM00013363,2009-01-19,TMAX,116
BKM00014654,2011-10-28,TMIN,81
MJM00013461,2014-12-29,TMAX,61
MJM00013461,2006-12-17,TMIN,67
MJM00013459,2008-03-13,TMAX,104
BKM00014654,2007-06-05,TMAX,179
BKM00014652,2009-10-03,TMIN,-12
MK000013577,2011-05-25,TMAX,193
MJM00013461,2009-11-04,TMIN,105
RIE00100814,2006-01-13,TMAX,10
MJM00013461,2008-12-21,TMAX,146
MJM00013459,2006-03-18,TMIN,16
MJM00013363,2008-09-14,TMAX,194
MJM00013463,2011-02-04,TMIN,24
BKM00014648,2007-11-17,TMIN,12
BKM00014657,2015-10-29,TMAX,194
MJM00013363,2011-08-15,TMAX,310
RIE00100814,2005-08-20,TMIN,164
MK000013577,2011-12-25,TMIN,-84
BKM00014654,2011-11-25,TMIN,-4
RIE00100814,2009-04-13,TMIN,69
RIE00100814,2007-03-30,TMAX,164
RIE00100814,2009-04-13,TMAX,167
BKM00014652,2005-04-07,TMAX,27
BKM00014652,2005-04-07,TMIN,-5
MJM00013461,2013-01-01,TMAX,154
MJM00013463,2006-08-06,TMAX,303
BKM00014654,2010-03-31,TMAX,163
MJM00013363,2014-05-11,TMAX,255
MJM00013463,2005-09-01,TMIN,236
MJM00013463,2010-07-10,TMIN,225
MJM00013463,2008-10-03,TMIN,160
BKM00014652,2010-12-29,TMIN,-118
MJM00013463,2011-10-05,TMIN,159
RIE00100814,2008-10-17,TMIN,88
MJM00013461,2006-12-17,TMAX,162
MJM00013459,2006-03-18,TMAX,98
RIE00100814,2005-08-20,TMAX,263
BKM00014657,2011-06-24,TMIN,218
BKM00014652,2014-06-16,TMAX,72
MJM00013363,2006-10-05,TMAX,167
BKM00014654,2014-04-03,TMAX,202
RIE00100814,2008-10-17,TMAX,250
BKM00014654,2011-10-28,TMAX,117
BKM00014652,2007-05-03,TMIN,12
BKM00014648,2005-11-19,TMAX,82
MJM00013459,2007-06-21,TMAX,314
BKM00014652,2009-11-25,TMIN,-3
MJM00013461,2006-12-01,TMAX,170
MK000013577,2015-03-18,TMAX,48
BKM00014652,2014-06-16,TMIN,34
BKM00014654,2011-11-25,TMAX,23
MJM00013463,2010-07-10,TMAX,334
MJM00013461,2009-11-04,TMAX,182
BKM00014654,2013-04-18,TMAX,230
BKM00014652,2010-10-19,TMAX,21
BKM00014657,2015-08-13,TMIN,259
BKM00014648,2007-08-25,TMAX,419
RIE00100814,2009-11-01,TMAX,92
MJM00013463,2005-08-02,TMIN,248
RIE00100814,2005-06-28,TMIN,159
ALM00013615,2013-01-27,TMAX,117
MJM00013463,2014-02-03,TMAX,145
MJM00013363,2010-11-15,TMIN,-1
MK000013577,2011-12-18,TMIN,-34
ALM00013615,2013-12-30,TMAX,171
BKM00014654,2008-05-12,TMAX,213
BKM00014654,2007-07-18,TMIN,160
BKM00014648,2007-08-25,TMIN,259
RIE00100814,2011-06-01,TMAX,274
MJM00013463,2015-12-28,TMIN,11
BKM00014654,2008-01-21,TMAX,162
RIE00100814,2009-11-01,TMIN,10
MJM00013463,2008-04-22,TMIN,117
BKM00014648,2008-07-15,TMAX,278
MJM00013363,2011-07-18,TMIN,110
ALM00013615,2008-01-31,TMAX,168
BKM00014657,2015-08-13,TMAX,373
MJM00013463,2012-03-16,TMAX,206
RIE00100814,2010-03-10,TMAX,23
RIE00100814,2005-06-28,TMAX,302
BKM00014648,2014-09-12,TMAX,257
MJM00013463,2011-02-04,TMAX,142
MK000013577,2006-09-11,TMIN,82
BKM00014654,2008-01-21,TMIN,12
MJM00013463,2012-03-16,TMIN,60
MJM00013463,2006-10-15,TMAX,244
MJM00013463,2008-04-22,TMAX,183
RIE00100814,2006-01-13,TMIN,-59
ALM00013615,2013-02-05,TMIN,-18
MJM00013463,2014-02-03,TMIN,2
MJM00013459,2012-06-29,TMAX,315
MK000013577,2011-12-18,TMAX,15
BKM00014657,2013-01-22,TMAX,131
MJM00013459,2012-10-14,TMIN,126
MJM00013363,2008-09-14,TMIN,142
BKM00014648,2011-12-24,TMIN,16
RIE00100814,2005-09-22,TMAX,204
MK000013577,2007-07-04,TMIN,109
MJM00013459,2008-08-10,TMIN,172
BKM00014652,2009-05-14,TMIN,72
MK000013577,2007-07-04,TMAX,236
BKM00014652,2009-05-14,TMAX,124
MJM00013463,2008-10-24,TMIN,120
MJM00013463,2015-06-23,TMIN,175
BKM00014648,2006-07-05,TMAX,322
MJM00013463,2005-12-16,TMAX,110
ALM00013615,2006-09-18,TMAX,255
MJM00013363,2007-10-24,TMAX,54
BKM00014648,2006-07-05,TMIN,190
BKM00014652,2006-03-02,TMIN,-91
ALM00013615,2013-02-05,TMAX,152
RIE00100814,2005-09-22,TMIN,120
BKM00014654,2008-08-23,TMAX,330
MJM00013363,2010-11-15,TMAX,220
MJM00013363,2007-10-24,TMIN,6
BKM00014652,2006-03-02,TMAX,-57
RIE00100814,2014-02-10,TMAX,184
MJM00013463,2008-10-24,TMAX,236
MJM00013463,2014-07-30,TMAX,290
BKM00014657,2013-02-02,TMAX,161
RIE00100814,2014-02-10,TMIN,50
RIE00100814,2007-05-14,TMIN,166
BKM00014657,2013-01-02,TMAX,155
BKM00014654,2011-10-23,TMAX,81
MJM00013459,2005-10-22,TMIN,93
MJM00013463,2007-12-29,TMAX,84
RIE00100814,2014-11-19,TMAX,161
MK000013577,2010-08-20,TMIN,127
MJM00013461,2012-11-01,TMAX,224
MJM00013363,2006-03-23,TMAX,68
MJM00013363,2011-08-10,TMAX,153
MJM00013461,2006-06-11,TMAX,243
BKM00014648,2014-05-28,TMAX,268
BKM00014654,2007-01-20,TMAX,154
BKM00014654,2007-01-20,TMIN,45
MJM00013463,2013-06-27,TMAX,291
BKM00014657,2008-12-13,TMIN,87
MJM00013459,2015-04-16,TMIN,49
MJM00013461,2011-11-15,TMIN,52
RIE00100814,2005-08-31,TMIN,164
MJM00013463,2013-06-27,TMIN,200
MJM00013461,2011-11-15,TMAX,173
MJM00013461,2011-02-24,TMAX,73
BKM00014657,2013-09-21,TMIN,150
